Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
332.0,Dereck Lively II,21.0,DAL,C,7.0,4.0,16.4,1.6,2.6,0.611,0.0,0.0,,1.6,2.6,0.611,0.611,1.1,1.4,0.8,2.0,3.3,5.3,1.9,0.6,1.6,1.4,3.0,4.3
333.0,Pete Nance,25.0,MIL,PF,3.0,0.0,3.3,1.7,2.0,0.833,1.0,1.3,0.75,0.7,0.7,1.0,1.083,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.0,4.3
334.0,Javon Small,23.0,MEM,PG,8.0,0.0,12.4,1.3,3.5,0.357,0.8,2.4,0.316,0.5,1.1,0.444,0.464,1.0,1.3,0.8,0.1,0.9,1.0,2.8,0.0,0.1,1.0,0.9,4.3
335.0,Liam McNeeley,20.0,CHO,SF,11.0,0.0,13.3,1.1,3.5,0.308,0.8,2.4,0.346,0.3,1.2,0.231,0.423,1.2,1.4,0.867,0.5,1.8,2.3,1.1,0.2,0.1,0.6,1.6,4.2
336.0,Tristan Vukcevic,22.0,WAS,C,14.0,1.0,9.1,1.6,3.6,0.431,0.5,1.7,0.292,1.1,1.9,0.556,0.5,0.6,0.9,0.667,0.4,1.5,1.9,0.6,0.4,0.5,1.0,1.2,4.2
337.0,Micah Peavy,24.0,NOP,SG,14.0,1.0,14.0,1.8,4.4,0.403,0.2,1.5,0.143,1.6,2.9,0.537,0.427,0.3,0.5,0.571,1.1,1.2,2.4,1.0,0.4,0.1,0.3,1.9,4.1
338.0,Nick Richards,28.0,PHO,C,18.0,2.0,10.6,1.6,3.0,0.519,0.0,0.0,,1.6,3.0,0.519,0.519,1.0,1.5,0.667,1.5,2.3,3.8,0.3,0.1,0.5,1.1,1.4,4.1
339.0,Malaki Branham,22.0,WAS,SG,7.0,0.0,6.9,1.1,2.4,0.471,0.3,1.3,0.222,0.9,1.1,0.75,0.529,1.4,1.7,0.833,0.4,0.9,1.3,0.7,0.1,0.0,0.4,0.4,4.0
340.0,Koby Brea,23.0,PHO,SG,1.0,0.0,4.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
341.0,Taylor Hendricks,22.0,UTA,PF,11.0,3.0,14.3,1.5,4.0,0.364,0.5,1.8,0.25,1.0,2.2,0.458,0.42,0.6,0.9,0.7,1.5,2.2,3.7,0.5,0.5,0.3,0.5,0.5,4.0
342.0,Keshad Johnson,24.0,MIA,SF,8.0,0.0,11.4,1.4,4.1,0.333,0.5,1.9,0.267,0.9,2.3,0.389,0.394,0.8,0.9,0.857,1.0,1.9,2.9,0.1,0.4,0.5,0.4,1.0,4.0
343.0,Noah Penda,21.0,ORL,SF,10.0,0.0,9.4,1.4,2.7,0.519,0.5,0.7,0.714,0.9,2.0,0.45,0.611,0.7,0.9,0.778,1.6,1.5,3.1,1.2,0.1,0.3,0.4,0.9,4.0
344.0,Mitchell Robinson,27.0,NYK,C,9.0,9.0,17.1,1.9,2.9,0.654,0.0,0.0,,1.9,2.9,0.654,0.654,0.2,1.0,0.222,4.9,3.3,8.2,0.9,0.4,1.1,0.8,2.8,4.0
345.0,James Wiseman,24.0,IND,C,1.0,1.0,20.0,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,0.0,,4.0,0.0,4.0,0.0,0.0,1.0,3.0,2.0,4.0
346.0,Bones Hyland,25.0,MIN,PG,13.0,0.0,9.1,1.5,3.2,0.488,0.6,1.9,0.32,0.9,1.2,0.75,0.585,0.2,0.3,0.75,0.2,1.0,1.2,1.4,0.5,0.0,0.6,1.1,3.9
347.0,Asa Newell,20.0,ATL,PF,12.0,0.0,8.0,1.3,2.8,0.471,0.7,1.5,0.444,0.7,1.3,0.5,0.588,0.6,0.8,0.778,0.8,0.8,1.6,0.3,0.4,0.3,0.3,1.2,3.9
348.0,Branden Carlson,26.0,OKC,C,13.0,0.0,8.4,1.5,3.2,0.488,0.5,1.5,0.3,1.1,1.6,0.667,0.561,0.2,0.4,0.6,0.5,1.3,1.8,0.6,0.2,0.6,0.2,0.9,3.8
349.0,David Jones García,24.0,SAS,SF,6.0,0.0,8.2,1.7,3.2,0.526,0.2,0.3,0.5,1.5,2.8,0.529,0.553,0.3,0.8,0.4,0.7,1.2,1.8,2.2,0.7,0.2,0.5,0.5,3.8
