CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
1630581,Josh Giddey,1610612741,CHI,G,23.0,13,13,1.0,83,189,0.439,0.463,-0.024
1641718,Keyonte George,1610612762,UTA,G,22.0,15,15,1.0,98,189,0.519,0.473,0.045
1641717,Cason Wallace,1610612760,OKC,G,22.0,16,16,1.0,86,188,0.457,0.461,-0.003
203471,Dennis Schröder,1610612758,SAC,G,32.0,16,16,1.0,92,187,0.492,0.475,0.017
1626220,Royce O'Neale,1610612756,PHX,F,32.0,16,16,1.0,77,186,0.414,0.462,-0.048
1628374,Lauri Markkanen,1610612762,UTA,F-C,28.0,15,15,1.0,91,186,0.489,0.489,0.0
1626164,Devin Booker,1610612756,PHX,G,29.0,16,16,1.0,89,184,0.484,0.454,0.03
1628970,Miles Bridges,1610612766,CHA,F,27.0,15,15,1.0,90,184,0.489,0.484,0.005
1627759,Jaylen Brown,1610612738,BOS,G-F,29.0,16,16,1.0,77,184,0.418,0.456,-0.037
1642851,Kon Knueppel,1610612766,CHA,G-F,20.0,15,15,1.0,77,183,0.421,0.482,-0.061
1627750,Jamal Murray,1610612743,DEN,G,28.0,14,14,1.0,82,183,0.448,0.461,-0.013
1629130,Duncan Robinson,1610612765,DET,F,31.0,15,15,1.0,85,183,0.464,0.455,0.01
1627742,Brandon Ingram,1610612761,TOR,F,28.0,16,16,1.0,85,182,0.467,0.45,0.017
1629674,Neemias Queta,1610612738,BOS,C,26.0,16,16,1.0,79,182,0.434,0.485,-0.051
1642847,Jeremiah Fears,1610612740,NOP,G,19.0,16,16,1.0,94,181,0.519,0.469,0.05
1630217,Desmond Bane,1610612753,ORL,G,27.0,16,16,1.0,82,180,0.456,0.458,-0.002
201935,James Harden,1610612746,LAC,G,36.0,14,14,1.0,86,180,0.478,0.476,0.002
1630193,Immanuel Quickley,1610612761,TOR,G,26.0,16,16,1.0,76,180,0.422,0.451,-0.029
203994,Jusuf Nurkić,1610612762,UTA,C,31.0,15,15,1.0,90,180,0.5,0.519,-0.019
203468,CJ McCollum,1610612764,WAS,G,34.0,15,15,1.0,83,180,0.461,0.463,-0.001
1631222,Jake LaRavia,1610612747,LAL,F,24.0,15,15,1.0,85,179,0.475,0.468,0.007
1627734,Domantas Sabonis,1610612758,SAC,F-C,29.0,11,11,1.0,105,178,0.59,0.542,0.048
1629029,Luka Dončić,1610612747,LAL,F-G,26.0,11,11,1.0,83,178,0.466,0.459,0.008
1631096,Chet Holmgren,1610612760,OKC,C-F,23.0,13,13,1.0,66,176,0.375,0.472,-0.097
203897,Zach LaVine,1610612758,SAC,G,30.0,14,14,1.0,97,175,0.554,0.485,0.07
1627751,Jakob Poeltl,1610612761,TOR,C,30.0,12,12,1.0,79,175,0.451,0.478,-0.026
1630541,Moses Moody,1610612744,GSW,G,23.0,16,16,1.0,76,173,0.439,0.458,-0.019
