Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.
85.0,Giannis Antetokounmpo,31.0,MIL,PF,13.0,13.0,414.0,0.629,5.8,0.927,0.657,0.125,0.048,0.097,0.073,0.639,0.767,0.452,0.417,0.125,0.5,0.449,0.778,0.258,62.0,0.0,,0.0,0.0
86.0,Santi Aldama,25.0,MEM,PF,16.0,1.0,412.0,0.475,14.3,0.565,0.226,0.232,0.062,0.045,0.435,0.59,0.7,0.585,0.455,0.25,0.325,0.814,1.0,0.023,4.0,0.247,0.579,0.0,0.0
87.0,Julian Champagnie,24.0,SAS,SF,15.0,10.0,412.0,0.434,19.7,0.23,0.177,0.053,0.0,0.0,0.77,0.577,0.7,0.167,,,0.391,0.8,0.971,0.027,3.0,0.46,0.425,0.0,0.0
88.0,Nic Claxton,26.0,BRK,C,14.0,14.0,412.0,0.576,4.8,0.955,0.523,0.356,0.061,0.015,0.045,0.603,0.696,0.553,0.0,1.0,0.0,0.579,,0.258,32.0,0.0,,0.0,0.0
89.0,Josh Giddey,23.0,CHI,PG,12.0,12.0,410.0,0.466,11.2,0.733,0.267,0.34,0.068,0.058,0.267,0.5,0.667,0.4,0.615,0.182,0.373,0.357,0.737,0.005,1.0,0.078,0.25,0.0,0.0
90.0,Kyshawn George,22.0,WAS,SF,13.0,13.0,409.0,0.503,16.5,0.528,0.16,0.178,0.135,0.055,0.472,0.547,0.808,0.448,0.455,0.333,0.455,0.255,0.857,0.025,4.0,0.169,0.692,0.0,0.0
91.0,Jalen Brunson,29.0,NYK,PG,12.0,12.0,408.0,0.468,14.5,0.639,0.179,0.21,0.167,0.083,0.361,0.528,0.711,0.358,0.524,0.571,0.363,0.294,0.545,0.0,0.0,0.143,0.462,0.0,0.0
92.0,Luka Dončić,26.0,LAL,PG,11.0,11.0,405.0,0.472,18.1,0.516,0.093,0.157,0.194,0.073,0.484,0.617,0.957,0.615,0.583,0.278,0.317,0.203,0.368,0.008,2.0,0.083,0.1,0.0,0.0
93.0,Stephen Curry,37.0,GSW,PG,13.0,13.0,401.0,0.464,18.9,0.404,0.152,0.128,0.076,0.048,0.596,0.574,0.684,0.594,0.421,0.417,0.389,0.483,0.707,0.004,0.0,0.087,0.462,0.0,0.0
94.0,Jrue Holiday,35.0,POR,PG,12.0,12.0,401.0,0.446,16.5,0.488,0.157,0.181,0.114,0.036,0.512,0.531,0.654,0.5,0.421,0.5,0.365,0.372,0.452,0.012,2.0,0.129,0.455,0.0,0.0
95.0,Kyle Kuzma,30.0,MIL,PF,15.0,6.0,400.0,0.49,11.2,0.684,0.31,0.303,0.032,0.039,0.316,0.594,0.729,0.511,0.2,0.5,0.265,0.635,0.923,0.045,7.0,0.347,0.294,0.0,0.0
96.0,Shaedon Sharpe,22.0,POR,SG,14.0,14.0,400.0,0.439,14.0,0.63,0.282,0.168,0.084,0.095,0.37,0.545,0.676,0.5,0.364,0.4,0.258,0.478,0.72,0.069,14.0,0.093,0.222,0.0,0.0
97.0,Jaylen Wells,22.0,MEM,SG,16.0,16.0,399.0,0.375,17.6,0.454,0.132,0.138,0.092,0.092,0.546,0.478,0.65,0.429,0.429,0.357,0.289,0.667,0.917,0.026,3.0,0.313,0.192,0.0,0.0
98.0,Jerami Grant,31.0,POR,PF,14.0,2.0,399.0,0.473,13.6,0.55,0.314,0.178,0.041,0.018,0.45,0.516,0.679,0.333,0.143,0.333,0.421,0.396,0.969,0.047,6.0,0.382,0.552,0.0,0.0
99.0,Sion James,23.0,CHO,SG,15.0,10.0,398.0,0.438,15.4,0.425,0.313,0.088,0.025,0.0,0.575,0.441,0.48,0.286,0.5,,0.435,0.533,1.0,0.088,5.0,0.457,0.381,0.0,0.0
100.0,Matas Buzelis,21.0,CHI,PF,14.0,14.0,396.0,0.481,12.0,0.603,0.365,0.192,0.032,0.013,0.397,0.532,0.596,0.467,0.0,1.0,0.403,0.5,0.96,0.083,12.0,0.355,0.273,0.0,0.0
101.0,Jeremiah Fears,19.0,NOP,PG,15.0,13.0,394.0,0.449,11.6,0.737,0.303,0.237,0.141,0.056,0.263,0.493,0.633,0.447,0.393,0.182,0.327,0.375,0.647,0.02,4.0,0.115,0.333,0.0,0.0
102.0,Jabari Smith Jr.,22.0,HOU,PF,12.0,12.0,394.0,0.454,15.8,0.539,0.177,0.156,0.128,0.078,0.461,0.513,0.64,0.591,0.444,0.182,0.385,0.59,0.92,0.043,6.0,0.477,0.452,0.0,0.0
103.0,Paolo Banchero,23.0,ORL,PF,12.0,12.0,393.0,0.461,12.1,0.753,0.247,0.247,0.174,0.084,0.247,0.53,0.705,0.545,0.258,0.533,0.25,0.352,0.909,0.062,10.0,0.091,0.0,0.0,0.0
104.0,Ben Sheppard,24.0,IND,SG,15.0,6.0,386.0,0.33,16.3,0.452,0.191,0.165,0.061,0.035,0.548,0.462,0.682,0.263,0.429,0.25,0.222,0.708,0.929,0.017,2.0,0.349,0.227,0.0,0.0
105.0,Tristan Da Silva,24.0,ORL,SF,16.0,4.0,384.0,0.477,16.2,0.45,0.168,0.208,0.06,0.013,0.55,0.552,0.72,0.516,0.222,0.5,0.415,0.541,0.971,0.06,6.0,0.341,0.464,0.0,0.0
106.0,Kris Dunn,31.0,LAC,PG,15.0,9.0,384.0,0.471,13.6,0.6,0.212,0.235,0.141,0.012,0.4,0.549,0.667,0.6,0.333,0.0,0.353,0.464,1.0,0.035,2.0,0.441,0.467,0.0,0.0
107.0,Donovan Clingan,21.0,POR,C,15.0,15.0,383.0,0.479,10.6,0.632,0.453,0.179,0.0,0.0,0.368,0.635,0.642,0.619,,,0.209,0.553,1.0,0.137,13.0,0.163,0.0,0.0,0.0
