Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
181,Cole Anthony,25,MIL,PG,15,0,295,100,1,0,0,0,-6.5,-8.6,20,11,23,2,6,5,191,3,5
182,Tyrese Martin,26,BRK,SG,14,2,293,5,68,27,1,0,-5.5,11.5,7,6,6,0,5,1,83,3,1
183,Brandon Williams,26,DAL,PG,14,6,292,99,1,0,0,0,-3.9,4.8,17,6,16,2,24,5,108,3,13
184,Keon Ellis,26,SAC,SG,16,2,289,26,52,22,0,0,-14.2,-0.5,1,3,23,1,3,5,26,0,0
185,Miles McBride,25,NYK,SG,12,3,289,57,43,0,0,0,6.7,1.4,4,4,10,0,5,1,73,2,3
186,Jakob Poeltl,30,TOR,C,11,11,287,0,0,0,0,100,1.7,-4.6,6,3,23,4,12,0,45,1,4
187,Craig Porter Jr.,25,CLE,PG,16,0,285,99,1,0,0,0,5.1,1.7,13,1,11,0,3,2,106,2,1
188,Simone Fontecchio,30,MIA,SF,15,0,285,0,0,32,66,1,1.9,-2.5,8,3,20,2,10,0,44,2,6
189,Isaiah Jackson,24,IND,C,15,11,285,0,0,1,13,87,-12.4,-0.8,1,5,27,7,14,0,36,4,2
190,Ace Bailey,19,UTA,SF,14,5,284,0,7,77,12,3,-18.8,-22.3,9,3,27,1,7,0,56,1,3
191,Jaylon Tyson,23,CLE,SG,11,7,284,0,31,57,13,0,4.7,1.0,7,1,16,2,6,1,49,3,4
192,Josh Minott,23,BOS,PF,14,9,282,0,0,21,74,6,4.0,-2.1,5,3,12,1,9,2,47,1,6
193,LaMelo Ball,24,CHO,PG,9,9,282,75,25,0,0,0,3.5,12.0,17,6,14,4,16,5,211,3,7
194,Josh Okogie,27,HOU,SG,13,10,279,75,25,0,0,0,14.6,5.3,4,1,12,0,9,7,35,0,4
195,Jalen Suggs,24,ORL,PG,12,12,279,90,10,0,0,0,17.1,20.3,21,9,22,4,11,8,137,0,2
196,Ziaire Williams,24,BRK,SF,12,0,279,0,17,77,6,0,-15.3,-5.6,5,3,14,1,13,0,20,4,4
197,Isaiah Joe,26,OKC,SG,11,0,279,35,65,0,0,0,15.3,0.6,5,5,9,0,10,10,41,0,4
198,Jose Alvarado,27,NOP,PG,14,0,277,100,0,0,0,0,-6.1,11.7,9,5,11,0,6,6,80,1,6
199,Vit Krejci,25,ATL,PG,12,1,277,56,44,0,0,0,0.4,-2.5,6,0,14,1,4,2,52,0,3
200,Jaylin Williams,23,OKC,PF,15,1,276,0,0,8,54,37,10.0,-7.6,10,0,12,3,3,5,80,1,0
201,Isaiah Stewart,24,DET,C,12,5,276,0,0,0,40,60,3.6,-5.1,3,5,15,6,9,0,43,4,4
202,Khris Middleton,34,WAS,SF,11,11,275,0,0,10,88,1,-14.4,1.9,10,3,17,4,6,3,64,0,6
203,Jamal Shead,23,TOR,PG,15,0,273,100,0,0,0,0,7.1,4.1,14,2,16,1,7,12,173,2,7
204,Bam Adebayo,28,MIA,C,9,9,272,0,0,0,18,82,13.3,15.7,7,7,4,0,18,2,61,3,5
205,Will Richard,23,GSW,SG,15,6,271,0,6,80,14,0,-10.8,-16.6,6,3,19,0,10,2,46,1,3
206,Egor Demin,19,BRK,PG,13,6,269,95,5,0,0,0,-16.8,-8.0,11,6,16,0,1,2,120,0,3
207,Steven Adams,32,HOU,C,12,3,267,0,0,0,0,100,13.7,3.9,5,3,7,5,10,0,41,1,2
208,Goga Bitadze,26,ORL,C,16,0,265,0,0,0,0,100,9.8,8.3,5,2,19,1,11,0,50,3,2
209,Dillon Brooks,30,PHO,SF,9,9,265,0,1,9,90,1,0.5,-8.7,5,6,10,5,12,3,42,3,5
210,Kristaps Porziņģis,30,ATL,C,10,10,262,0,0,0,0,100,1.1,-1.5,4,3,16,3,21,0,76,4,3
211,Nicolas Batum,37,LAC,PF,15,2,259,0,0,32,67,1,-10.9,-6.5,6,0,11,2,1,0,27,0,1
212,Corey Kispert,26,WAS,SF,14,0,258,0,3,71,27,0,-10.2,8.7,7,1,11,1,10,1,54,5,4
213,Kyle Filipowski,22,UTA,C,13,5,258,0,0,0,56,44,2.1,12.6,8,4,17,3,11,2,74,2,9
214,Jarred Vanderbilt,26,LAL,PF,14,2,257,0,17,53,30,0,0.3,-4.1,8,7,12,4,5,1,50,1,8
